Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771957354428,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,10.810811042785645,5.714285850524902,5.714285850524902,11.428571701049805,2.857142925262451,8.108107566833496,5.714285850524902,2.857142925262451,8.108107566833496,5.714285850524902,5.555555820465088,5.555555820465088,13871.466247558594,4096,387,3095,45,0,153076.9327392578,112856.15844726563,2743.3739624023438,16408719360,4294963200,2575179776,237568
200,1771957354428,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,10.810811042785645,5.714285850524902,5.714285850524902,11.428571701049805,2.857142925262451,8.108107566833496,5.714285850524902,2.857142925262451,8.108107566833496,5.714285850524902,5.555555820465088,5.555555820465088,13871.495422363281,4096,387,3647,45,0,153077.4561767578,112856.51611328125,2743.3739624023438,16408719360,4294963200,2579705856,237568
199,1771957354628,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,78.57142639160156,43.33333206176758,43.33333206176758,78.57142639160156,43.33333206176758,42.85714340209961,43.33333206176758,43.33333206176758,39.28571319580078,41.379310607910156,42.85714340209961,44.82758712768555,13871.650756835938,4096,387,3171,45,0,153085.19110107422,112863.66333007813,2743.3876342773438,16408719360,4294963200,2618040320,237568
199,1771957354828,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,63.15789031982422,60.000003814697266,60.000003814697266,61.904762268066406,57.894737243652344,60.000003814697266,57.894737243652344,60.000003814697266,100,60.000003814697266,60.000003814697266,60.000003814697266,13871.794189453125,4096,387,3251,45,0,153093.0430908203,112870.90222167969,2743.3876342773438,16408719360,4294963200,2625691648,237568
200,1771957355028,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,42.85714340209961,0,0,10,0,0,0,0,60.000003814697266,0,0,0,13871.951171875,4096,387,3114,45,0,153096.6743774414,112873.96392822266,2743.3876342773438,16408719360,4294963200,2646016000,237568
200,1771957355228,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,100,0,0,10,0,0,0,0,0,0,0,0,13872.10400390625,4096,387,3056,45,0,153100.51470947266,112877.22930908203,2743.3933715820313,16408719360,4294963200,2666352640,237568
200,1771957355428,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,100,0,0,10.526315689086914,0,0,0,0,0,0,0,0,13872.290100097656,4096,387,3103,45,0,153104.31549072266,112880.44848632813,2743.3933715820313,16408719360,4294963200,2778677248,237568
200,1771957355628,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,100,0,0,10,0,0,0,0,0,0,0,0,13872.470275878906,4096,387,3150,45,0,153107.75482177734,112883.31024169922,2743.3933715820313,16408719360,4294963200,2836709376,237568
200,1771957355828,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,15.789472579956055,0,0,95,0,0,0,0,0,0,0,0,13872.6572265625,4096,387,3293,45,0,153111.01043701172,112885.9574584961,2743.4049072265625,16408719360,4294963200,2853289984,237568
200,1771957356028,800,1570,1212,1538,960,1565,1947,983,2526,1184,1573,2275,14.285715103149414,0,0,100,0,0,0,0,0,0,0,0,13872.808532714844,4096,387,3098,45,0,153114.67095947266,112889.05364990234,2743.4049072265625,16408719360,4294963200,2890313728,237568
