Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1772065030447,982,1062,800,956,1181,800,962,799,800,799,800,874,8.108107566833496,5.405405521392822,2.857142925262451,5.405405521392822,5.405405521392822,11.111111640930176,2.777777910232544,2.777777910232544,5.405405521392822,5.555555820465088,2.857142925262451,11.111111640930176,15277.661682128906,4096,387,2944,48,0,216479.95532226563,168777.59466552734,2838.2406005859375,16408723456,4294963200,2476486656,114688
200,1772065030447,982,1062,800,956,1181,800,962,799,800,799,800,874,8.108107566833496,5.405405521392822,2.857142925262451,5.405405521392822,5.405405521392822,11.111111640930176,2.777777910232544,2.777777910232544,5.405405521392822,5.555555820465088,2.857142925262451,11.111111640930176,15277.686157226563,4096,387,2944,48,0,216480.3934326172,168777.91638183594,2838.2406005859375,16408723456,4294963200,2478084096,114688
199,1772065030647,982,1062,800,956,1181,800,962,799,800,799,800,874,46.42856979370117,46.42856979370117,46.42856979370117,46.42856979370117,46.42856979370117,77.77777862548828,82.14286041259766,48.27585983276367,46.42856979370117,44.4444465637207,46.42856979370117,46.42856979370117,15277.836364746094,4096,387,3136,48,0,216488.48779296875,168785.4927368164,2838.2406005859375,16408723456,4294963200,2509766656,114688
199,1772065030847,982,1062,800,956,1181,800,962,799,800,799,800,874,55,55,55,55,55,52.38095474243164,100,55,55,57.142860412597656,57.142860412597656,52.38095474243164,15277.981140136719,4096,387,3082,48,0,216496.20336914063,168792.6323852539,2838.2406005859375,16408723456,4294963200,2508947456,114688
199,1772065031047,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,0,0,0,100,0,0,0,0,0,15278.138732910156,4096,387,2971,47,0,216499.48553466797,168795.3612060547,2838.2406005859375,16408723456,4294963200,2550136832,114688
199,1772065031247,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,0,0,0,100,0,0,0,0,0,15278.2822265625,4096,387,3012,47,0,216503.0460205078,168798.37646484375,2838.2406005859375,16408723456,4294963200,2555551744,114688
199,1772065031447,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,0,0,0,100,0,0,0,0,0,15278.476257324219,4096,387,2999,47,0,216506.47662353516,168801.23608398438,2838.2406005859375,16408723456,4294963200,2695569408,114688
199,1772065031648,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,15.000000953674316,0,0,0,100,0,0,0,0,0,15278.652404785156,4096,387,3199,48,0,216509.69757080078,168803.88037109375,2838.2406005859375,16408723456,4294963200,2753343488,114688
200,1772065031848,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,89.47368621826172,0,0,14.285715103149414,0,0,0,0,0,15278.832641601563,4096,387,3037,48,0,216512.8236694336,168806.44317626953,2838.2406005859375,16408723456,4294963200,2775687168,114688
200,1772065032048,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,100,0,0,0,0,0,0,0,0,15278.982971191406,4096,387,3025,48,0,216516.38024902344,168809.44915771484,2838.2406005859375,16408723456,4294963200,2792726528,114688
200,1772065032248,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,5.263157844543457,100,0,0,0,0,0,0,0,0,15279.168884277344,4096,387,3065,48,0,216519.49542236328,168812.00219726563,2838.2406005859375,16408723456,4294963200,2811097088,114688
200,1772065032448,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,10,100,0,0,0,0,0,0,0,0,15279.309143066406,4096,387,3048,48,0,216523.08111572266,168815.04455566406,2838.2406005859375,16408723456,4294963200,2819350528,114688
200,1772065032648,982,1062,800,956,1181,800,962,799,800,799,800,874,0,0,9.523809432983398,100,0,0,0,0,0,0,0,0,15279.46337890625,4096,387,3180,48,0,216526.69903564453,168818.11358642578,2838.2406005859375,16408723456,4294963200,2835857408,114688
