Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771962435025,800,800,800,800,800,800,800,800,800,800,800,800,8.571429252624512,5.714285850524902,8.333333969116211,8.333333969116211,8.333333969116211,13.88888931274414,8.333333969116211,5.714285850524902,8.333333969116211,5.714285850524902,5.555555820465088,8.333333969116211,17856.785705566406,4096,387,3188,48,0,231947.52514648438,178456.9848022461,3267.626953125,16408719360,4294963200,2641674240,237568
200,1771962435025,800,800,800,800,800,800,800,800,800,800,800,800,8.571429252624512,5.714285850524902,8.333333969116211,8.333333969116211,8.333333969116211,13.88888931274414,8.333333969116211,5.714285850524902,8.333333969116211,5.714285850524902,5.555555820465088,8.333333969116211,17856.812927246094,4096,387,3188,48,0,231948.12969970703,178457.4366455078,3267.626953125,16408719360,4294963200,2645667840,237568
200,1771962435225,800,800,800,800,800,800,800,800,800,800,800,800,34.482757568359375,3.3333334922790527,0,0,81.48148345947266,0,0,0,0,0,0,0,17857.006286621094,4096,387,3294,48,0,231951.46099853516,178460.17510986328,3267.626953125,16408719360,4294963200,2780647424,237568
200,1771962435425,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,0,100,0,0,0,0,0,0,0,17857.18310546875,4096,387,3158,48,0,231954.61694335938,178462.75494384766,3267.626953125,16408719360,4294963200,2837889024,237568
200,1771962435625,800,800,800,800,800,800,800,800,800,800,800,800,15.000000953674316,0,0,84.21052551269531,15.000000953674316,0,0,0,0,0,0,0,17857.342224121094,4096,387,3118,48,0,231958.15264892578,178465.71759033203,3267.626953125,16408719360,4294963200,2878255104,237568
200,1771962435825,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,17857.50323486328,4096,387,3086,48,0,231961.47338867188,178468.46362304688,3267.626953125,16408719360,4294963200,2896420864,237568
200,1771962436025,800,800,800,800,800,800,800,800,800,800,800,800,14.285715103149414,0,0,100,0,0,0,0,0,0,0,0,17857.644775390625,4096,387,3106,48,0,231965.07037353516,178471.49645996094,3267.626953125,16408719360,4294963200,2907611136,237568
200,1771962436225,800,800,800,800,800,800,800,800,800,800,800,800,10.526315689086914,0,0,100,0,0,0,0,0,0,0,0,17857.812438964844,4096,387,3270,48,0,231968.29614257813,178474.1259765625,3267.626953125,16408719360,4294963200,2924118016,237568
200,1771962436426,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,95,0,0,0,0,0,0,0,0,17857.963317871094,4096,387,3075,48,0,231971.86798095703,178477.13104248047,3267.626953125,16408719360,4294963200,2933436416,237568
200,1771962436626,800,800,800,800,800,800,800,800,800,800,800,800,14.285715103149414,0,0,100,0,0,0,0,0,0,0,0,17858.152587890625,4096,387,3086,48,0,231974.8861694336,178479.5626220703,3267.626953125,16408719360,4294963200,2956865536,237568
200,1771962436826,800,800,800,800,800,800,800,800,800,800,800,800,10.526315689086914,0,0,100,0,0,0,0,0,0,0,0,17858.305297851563,4096,387,3162,48,0,231978.5009765625,178482.60620117188,3267.626953125,16408719360,4294963200,2981449728,237568
200,1771962437026,800,800,800,800,800,800,800,800,800,800,800,800,10,0,0,100,0,0,0,0,0,0,0,0,17858.506408691406,4096,387,3156,48,0,231981.43280029297,178484.94763183594,3267.626953125,16408719360,4294963200,2981179392,237568
200,1771962437226,800,800,800,800,800,800,800,800,800,800,800,800,14.285715103149414,0,0,100,0,0,0,0,0,0,0,0,17858.65478515625,4096,387,3236,48,0,231985.06213378906,178488.0086669922,3267.626953125,16408719360,4294963200,2995167232,237568
200,1771962437426,800,800,800,800,800,800,800,800,800,800,800,800,10.526315689086914,0,0,100,0,0,0,4.761904716491699,0,0,0,0,17858.855407714844,4096,387,3084,48,0,231989.0751953125,178491.240234375,3267.6571044921875,16408719360,4294963200,3150798848,237568
200,1771962437626,800,800,800,800,800,800,800,800,800,800,800,800,5,0,0,94.73684692382813,0,0,0,0,30.000001907348633,0,0,0,17859.022033691406,4096,390,4195,48,0,231993.3740234375,178494.52478027344,3267.6571044921875,16408719360,4294963200,3184168960,237568
200,1771962437826,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,10,0,0,0,17859.208618164063,4096,400,7938,48,0,231997.1944580078,178497.6587524414,3267.6571044921875,16408719360,4294963200,3259752448,237568
200,1771962438026,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,95.45454406738281,0,0,0,0,10,0,0,0,17859.438232421875,4096,626,12813,48,12,232000.85162353516,178500.71630859375,3267.6634521484375,16408719360,4294963200,3321327616,237568
200,1771962438226,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,9.523809432983398,0,0,0,17859.640197753906,4096,630,14731,50,42,232004.4569091797,178503.75872802734,3267.6634521484375,16408719360,4294963200,3585454080,237568
200,1771962438426,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,5.263157844543457,0,0,0,17859.79315185547,4096,652,19999,50,84,232007.97552490234,178506.73571777344,3267.6634521484375,16408719360,4294963200,3627786240,237568
200,1771962438627,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,10,4.761904716491699,0,0,17859.947814941406,4096,652,30528,52,82,232011.5616455078,178509.76879882813,3267.6701049804688,16408719360,4294963200,3652014080,237568
200,1771962438827,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,5,0,0,0,17860.091552734375,4096,652,30689,52,84,232015.029296875,178512.7001953125,3267.6701049804688,16408719360,4294963200,3652263936,237568
200,1771962439027,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,5.263157844543457,0,0,0,17860.236206054688,4096,652,32168,52,89,232018.4716796875,178515.60052490234,3267.6701049804688,16408719360,4294963200,3652263936,237568
200,1771962439227,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,15.000000953674316,4.761904716491699,0,0,17860.38653564453,4096,652,32018,54,89,232022.1068725586,178518.67919921875,3267.6759033203125,16408719360,4294963200,3652263936,237568
200,1771962439427,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,9.523809432983398,0,0,0,17860.530700683594,4096,652,31761,54,86,232025.58532714844,178521.61614990234,3267.6759033203125,16408719360,4294963200,3652263936,237568
200,1771962439627,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,5,0,0,0,17860.67596435547,4096,652,32052,54,87,232029.04522705078,178524.51763916016,3267.6759033203125,16408719360,4294963200,3652263936,237568
200,1771962439827,800,800,800,800,800,800,800,800,800,800,800,800,0,0,0,100,0,0,0,0,5,0,0,0,17860.823608398438,4096,652,31837,54,89,232032.48040771484,178527.40698242188,3267.6800537109375,16408719360,4294963200,3652263936,237568
200,1771962440027,800,800,800,800,800,800,800,800,800,800,800,800,5,0,0,100,0,0,0,0,0,0,0,0,17860.966369628906,4096,652,32653,54,86,232035.9737548828,178530.36224365234,3267.6800537109375,16408719360,4294963200,3666767872,237568
200,1771962440227,800,800,800,800,800,800,800,800,800,800,800,800,5,0,0,100,0,0,0,0,0,0,0,0,17861.111083984375,4096,652,31999,54,89,232039.5425415039,178533.3634033203,3267.6800537109375,16408719360,4294963200,3666767872,237568
